step,splaynet,central_splaynet,full_binary,static_optimal
1000,3.266,3.24,2.8,2.827
2000,3.256,3.243,2.805,2.827
3000,3.24933,3.24067,2.808,2.82767
4000,3.2375,3.231,2.807,2.82825
5000,3.2404,3.2352,2.8084,2.8286
6000,3.23417,3.22983,2.807,2.827
7000,3.23414,3.23043,2.80671,2.828
8000,3.2325,3.22925,2.80775,2.8265
9000,3.23156,3.22867,2.80733,2.82678
10000,3.2335,3.2309,2.8078,2.8271
11000,3.224,3.22164,2.80736,2.82718
12000,3.22492,3.22275,2.80658,2.82758
13000,3.22408,3.22208,2.80715,2.82692
14000,3.21921,3.21736,2.80743,2.82736
15000,3.21333,3.2116,2.80753,2.82693
16000,3.21025,3.20863,2.80744,2.82675
17000,3.20582,3.20429,2.80753,2.82741
18000,3.20522,3.20378,2.80772,2.82683
19000,3.20137,3.2,2.80753,2.82721
20000,3.198,3.1967,2.8072,2.82725
21000,3.20129,3.20005,2.80786,2.82714
22000,3.19864,3.19745,2.80745,2.827
23000,3.20009,3.19896,2.80735,2.82704
24000,3.20067,3.19958,2.80767,2.82704
25000,3.20256,3.20152,2.80764,2.82712
26000,3.20419,3.20319,2.80746,2.82696
27000,3.20315,3.20219,2.80767,2.8273
28000,3.27489,3.28882,3.00279,2.96104
29000,3.4271,3.47966,3.42269,3.24945
30000,3.5661,3.65543,3.8153,3.51793
31000,3.69477,3.81842,4.18223,3.76897
32000,3.82794,3.98434,4.52616,4.00484
33000,3.94303,4.12891,4.84948,4.226
34000,4.05688,4.26924,5.15356,4.43391
35000,4.17206,4.4098,5.44057,4.63057
36000,4.26917,4.53186,5.71133,4.81642
37000,4.36041,4.64311,5.96751,4.991
38000,4.45589,4.75947,6.21032,5.15755
39000,4.54464,4.86772,6.44069,5.31474
40000,4.63192,4.9747,6.65928,5.46528
41000,4.71088,5.07232,6.86761,5.60768
42000,4.78869,5.16874,7.06562,5.74329
43000,4.85237,5.25086,7.25488,5.87314
44000,4.9093,5.32643,7.43523,5.99666
45000,4.96929,5.40176,7.60767,6.11456
46000,5.03461,5.48089,7.77265,6.22709
47000,5.08972,5.551,7.9304,6.33534
48000,5.14775,5.62448,8.08148,6.43879
49000,5.20257,5.69202,8.22676,6.53855
50000,5.25324,5.75542,8.366,6.6336
51000,5.30457,5.8201,8.50014,6.72537
52000,5.35431,5.88196,8.6286,6.81302
53000,5.39872,5.93717,8.7523,6.89819
54000,5.44339,5.99422,8.87178,6.98011
55000,5.492,6.05353,8.98647,7.05849
56000,5.54684,6.12182,9.08086,7.12891
57000,5.59425,6.18372,9.17025,7.19677
58000,5.64707,6.24824,9.25641,7.2619
59000,5.69754,6.31149,9.33917,7.32522
60000,5.75042,6.37647,9.41937,7.38552
61000,5.80125,6.44033,9.497,7.44423
62000,5.84777,6.49865,9.57202,7.50106
63000,5.89273,6.55406,9.64522,7.55662
64000,5.93691,6.60783,9.7153,7.6102
65000,5.97843,6.65949,9.78335,7.66212
66000,6.02435,6.71302,9.84921,7.71717
67000,6.0649,6.76215,9.91313,7.76687
68000,6.10851,6.81526,9.97537,7.81854
69000,6.15157,6.866,10.0363,7.86493
70000,6.22316,6.94454,10.0946,7.91254
71000,6.27751,7.00639,10.151,7.9587
72000,6.34204,7.07786,10.2071,8.00428
73000,6.37584,7.11992,10.2611,8.04626
74000,6.41855,7.1688,10.313,8.08945
75000,6.47092,7.22704,10.364,8.13101
76000,6.51978,7.28267,10.4134,8.17129
77000,6.57797,7.34558,10.4621,8.21114
78000,6.62485,7.39835,10.5089,8.25041
79000,6.66247,7.44237,10.5547,8.28723
80000,6.69859,7.48405,10.6,8.32404
81000,6.73411,7.52499,10.6431,8.35981
82000,6.75929,7.55622,10.6861,8.3927
83000,6.80312,7.59175,10.727,8.4248
84000,6.84932,7.63029,10.7679,8.45514
85000,6.87862,7.66162,10.8072,8.48338
86000,6.90244,7.68909,10.8455,8.5136
87000,6.92247,7.71524,10.8837,8.54298
88000,6.94786,7.73899,10.9202,8.56894
89000,6.96734,7.7642,10.9565,8.59553
90000,7.00126,7.79233,10.9918,8.62304
91000,7.02303,7.81601,11.0256,8.64887
92000,7.04816,7.8466,11.0595,8.67625
93000,7.06732,7.86714,11.0923,8.69852
94000,7.08697,7.89166,11.1247,8.72623
95000,7.11166,7.91648,11.1566,8.74843
96000,7.13041,7.93745,11.1867,8.7727
97000,7.14633,7.95711,11.2173,8.79684
98000,7.16872,7.97714,11.2469,8.81595
