step,splaynet,central_splaynet,full_binary,static_optimal
1000,3.074,2.827,8.037,2.203
2000,3.0085,2.741,8.0525,2.174
3000,3.05133,2.77367,8.08533,2.19433
4000,3.07925,2.81025,8.08475,2.20875
5000,3.0806,2.8128,8.126,2.2112
6000,3.06733,2.78983,8.11817,2.206
7000,3.08157,2.80929,8.10429,2.217
8000,3.08363,2.82,8.09625,2.221
9000,3.08789,2.819,8.108,2.22589
10000,3.0995,2.8321,8.1022,2.2308
11000,3.09464,2.82745,8.09736,2.22445
12000,3.10075,2.83358,8.09183,2.2245
13000,3.09823,2.83138,8.09346,2.22192
14000,3.10593,2.835,8.10064,2.22136
15000,3.10113,2.82787,8.10347,2.21933
16000,3.10194,2.82563,8.10938,2.21831
17000,3.09941,2.82535,8.10082,2.21412
18000,3.09422,2.81967,8.10078,2.21111
19000,3.106,2.82716,8.10442,2.21505
20000,3.10985,2.8291,8.10005,2.2162
21000,3.10824,2.82376,8.10548,2.21424
22000,3.10745,2.82255,8.1055,2.21564
23000,3.11287,2.82748,8.10765,2.21987
24000,3.10242,2.81871,8.113,2.21429
25000,3.099,2.81328,8.11884,2.21268
26000,3.10004,2.81492,8.11515,2.21165
27000,3.10144,2.81652,8.12122,2.21426
28000,3.10071,2.81682,8.12304,2.21504
29000,3.097,2.81214,8.11972,2.21321
30000,3.0924,2.80673,8.11693,2.2102
31000,3.09003,2.806,8.12013,2.20981
32000,3.09303,2.80822,8.11569,2.21181
33000,3.09015,2.807,8.11524,2.21103
34000,3.08376,2.79994,8.11288,2.20759
35000,3.08277,2.79989,8.11663,2.20666
36000,3.08258,2.80044,8.11539,2.20869
37000,3.08819,2.80432,8.11922,2.21005
38000,3.09339,2.80758,8.12271,2.21382
39000,3.09049,2.80518,8.12082,2.21187
40000,3.09088,2.80423,8.12415,2.2122
41000,3.09146,2.805,8.12229,2.21217
42000,3.09467,2.80683,8.12,2.21257
43000,3.09381,2.80526,8.12007,2.21251
44000,3.09402,2.80516,8.11873,2.2117
45000,3.08984,2.80169,8.12007,2.21042
46000,3.08743,2.79965,8.11672,2.20926
47000,3.08296,2.79549,8.11736,2.20764
48000,3.08667,2.79825,8.11758,2.21008
49000,3.08682,2.79806,8.11843,2.21008
50000,3.08372,2.79588,8.11642,2.20836
51000,3.08157,2.79286,8.1202,2.20824
52000,3.08363,2.79477,8.12223,2.2106
53000,3.08491,2.79623,8.12015,2.21136
54000,3.08357,2.79524,8.11893,2.21057
55000,3.08451,2.79664,8.11704,2.2116
56000,3.08473,2.79779,8.11395,2.21191
57000,3.08312,2.79582,8.11533,2.21107
58000,3.07947,2.7925,8.1121,2.2086
59000,3.07712,2.79076,8.11076,2.20797
60000,3.07713,2.79083,8.11177,2.20797
61000,3.07608,2.78967,8.11067,2.2071
62000,3.0776,2.7909,8.10863,2.20653
63000,3.08106,2.79416,8.10721,2.20783
64000,3.07811,2.79113,8.10753,2.20619
65000,3.07857,2.79088,8.10812,2.20608
66000,3.07861,2.79056,8.10958,2.20647
67000,3.07624,2.78851,8.11161,2.20533
68000,3.07831,2.79057,8.11406,2.2064
69000,3.07706,2.78833,8.1129,2.20564
70000,3.07803,2.78867,8.11183,2.20594
71000,3.07745,2.7888,8.10931,2.20507
72000,3.078,2.78924,8.11001,2.2045
73000,3.08058,2.79125,8.11032,2.20578
74000,3.08297,2.79322,8.11314,2.20709
75000,3.08139,2.79136,8.11391,2.20597
76000,3.08166,2.79142,8.11647,2.20614
77000,3.08073,2.7911,8.11922,2.20627
78000,3.0831,2.79301,8.11895,2.2075
79000,3.08389,2.79337,8.11767,2.20716
80000,3.08454,2.79367,8.11766,2.20768
81000,3.08496,2.79319,8.12002,2.20753
82000,3.08604,2.79483,8.11793,2.20799
83000,3.08842,2.7964,8.11849,2.20896
84000,3.08773,2.79593,8.11758,2.20924
85000,3.08705,2.79504,8.11881,2.2086
86000,3.08605,2.7941,8.11962,2.2082
87000,3.08551,2.79416,8.12028,2.20826
88000,3.08684,2.79475,8.11882,2.20892
89000,3.08416,2.79239,8.11819,2.20757
90000,3.08186,2.78999,8.11676,2.20616
91000,3.08331,2.79107,8.11933,2.20689
92000,3.08493,2.7929,8.11892,2.20759
93000,3.08484,2.79281,8.11842,2.20732
94000,3.08404,2.79187,8.11596,2.20676
95000,3.08366,2.79133,8.11685,2.20607
96000,3.08406,2.79181,8.11644,2.20653
97000,3.08503,2.79274,8.11573,2.20701
