step,splaynet,central_splaynet,full_binary,static_optimal
1000,2.382,2.794,7.77,7.225
2000,2.356,2.777,7.806,7.2885
3000,2.39933,2.794,7.79133,7.33367
4000,2.3695,2.768,7.723,7.3075
5000,2.371,2.7656,7.6612,7.2924
6000,2.369,2.75183,7.62567,7.245
7000,2.37171,2.75714,7.61543,7.258
8000,2.3685,2.76887,7.665,7.26525
9000,2.37722,2.76833,7.684,7.29967
10000,2.3777,2.7644,7.7055,7.2898
11000,2.37591,2.76,7.70909,7.30255
12000,2.36608,2.74942,7.71017,7.31825
13000,2.36762,2.74838,7.71254,7.31977
14000,2.36543,2.739,7.73321,7.31229
15000,2.36353,2.73553,7.7434,7.33093
16000,2.36431,2.73694,7.76213,7.33956
17000,2.362,2.73824,7.74576,7.35
18000,2.36511,2.73844,7.7355,7.34272
19000,2.36458,2.73789,7.74084,7.34932
20000,2.3625,2.73775,7.748,7.3458
21000,2.365,2.73962,7.7501,7.33743
22000,2.36068,2.73577,7.75218,7.33064
23000,2.358,2.73717,7.76591,7.33257
24000,2.35942,2.73967,7.76879,7.34492
25000,2.36232,2.73988,7.76012,7.34272
26000,2.36054,2.74192,7.74285,7.34931
27000,2.36344,2.7437,7.75507,7.35833
28000,2.36168,2.74257,7.73943,7.35732
29000,2.36283,2.74083,7.73717,7.34255
30000,2.3606,2.739,7.73303,7.3329
31000,2.36219,2.73823,7.737,7.33365
32000,2.36116,2.73778,7.73278,7.33247
33000,2.36164,2.74236,7.7367,7.35139
34000,2.36174,2.74068,7.74094,7.35018
35000,2.36089,2.73966,7.72689,7.35466
36000,2.36125,2.73992,7.73181,7.34869
37000,2.36014,2.73932,7.72973,7.35354
38000,2.36011,2.74113,7.73042,7.34582
39000,2.36592,2.74649,7.74167,7.34503
40000,2.36788,2.7464,7.73935,7.33558
41000,2.367,2.74654,7.74322,7.33307
42000,2.36514,2.74355,7.73864,7.32469
43000,2.36572,2.7436,7.73158,7.32333
44000,2.3657,2.74382,7.73273,7.3252
45000,2.3646,2.74189,7.72904,7.32104
46000,2.36441,2.7428,7.72474,7.32143
47000,2.36462,2.74243,7.72604,7.32338
48000,2.36431,2.74129,7.72915,7.31902
