step,splaynet,central_splaynet,full_binary,static_optimal
1000,3.1,2.711,8.73,2.204
2000,3.2225,2.8305,8.709,2.257
3000,3.23933,2.83433,8.73333,2.281
4000,3.25,2.85125,8.76025,2.279
5000,3.2284,2.8304,8.7468,2.2774
6000,3.21217,2.811,8.72933,2.27317
7000,3.206,2.80743,8.74271,2.27214
8000,3.21488,2.82412,8.7365,2.27525
9000,3.22189,2.82522,8.73622,2.27956
10000,3.2326,2.8311,8.7422,2.2816
11000,3.247,2.84555,8.75345,2.28691
12000,3.26725,2.86608,8.7635,2.29992
13000,3.26062,2.85762,8.75423,2.29477
14000,3.26014,2.85807,8.75543,2.29436
15000,3.2668,2.86693,8.74507,2.2982
16000,3.25525,2.85925,8.73575,2.293
17000,3.25318,2.85935,8.73724,2.29059
18000,3.253,2.86039,8.73661,2.29189
19000,3.24711,2.85179,8.73242,2.28679
20000,3.2393,2.8477,8.7392,2.28475
21000,3.23295,2.84305,8.7351,2.28029
22000,3.23609,2.84827,8.73918,2.28241
23000,3.24978,2.86165,8.74383,2.28874
24000,3.24938,2.86092,8.74021,2.28929
25000,3.25448,2.86696,8.74028,2.29184
26000,3.25796,2.8695,8.73954,2.29285
27000,3.26104,2.87044,8.73867,2.29674
28000,3.25796,2.86539,8.73146,2.29371
29000,3.26066,2.8689,8.7279,2.29617
30000,3.2577,2.86997,8.72487,2.2954
31000,3.26142,2.87455,8.7211,2.29587
32000,3.25872,2.87044,8.72059,2.29603
33000,3.26791,2.87806,8.71782,2.29948
34000,3.26665,2.87821,8.72047,2.29856
35000,3.26911,2.87843,8.7162,2.2996
36000,3.26972,2.87875,8.71472,2.29958
37000,3.26976,2.87973,8.71576,2.30068
38000,3.27124,2.88026,8.71503,2.30108
39000,3.2659,2.87392,8.71244,2.29782
40000,3.27015,2.88,8.7142,2.30055
41000,3.27354,2.88271,8.713,2.30161
42000,3.27062,2.88076,8.71755,2.30169
43000,3.26667,2.87779,8.71549,2.29907
44000,3.26932,2.87966,8.72016,2.30055
45000,3.2682,2.87911,8.71844,2.30011
46000,3.27091,2.88117,8.71946,2.30111
47000,3.26636,2.87798,8.71851,2.29853
48000,3.26823,2.88056,8.71735,2.29919
49000,3.26837,2.88153,8.71914,2.29986
50000,3.26684,2.87982,8.71856,2.29978
51000,3.265,2.87876,8.7158,2.29827
52000,3.2651,2.88002,8.71569,2.2985
53000,3.2614,2.87632,8.71462,2.29702
54000,3.26689,2.88278,8.71431,2.29993
55000,3.26433,2.88075,8.71616,2.29893
56000,3.25973,2.87679,8.71302,2.29696
57000,3.26005,2.87658,8.71342,2.29667
58000,3.26117,2.87836,8.71178,2.29738
59000,3.26119,2.87778,8.71053,2.29742
