step,splaynet,central_splaynet,full_binary,static_optimal
1000,18.634,17.677,14.079,13.289
2000,18.8005,17.7615,14.0745,13.349
3000,18.814,17.8017,14.0443,13.4033
4000,18.8167,17.7885,14.0237,13.3805
5000,18.7662,17.744,14.0118,13.39
6000,18.7883,17.7695,14.0233,13.429
7000,18.7739,17.7661,13.9884,13.4193
8000,18.8046,17.7868,14.0071,13.438
9000,18.8082,17.7904,14.0,13.4348
10000,18.8005,17.7915,13.9924,13.4332
11000,18.806,17.7964,13.9947,13.4378
12000,18.7952,17.7937,13.9968,13.4256
13000,18.8045,17.8012,14.0128,13.4442
14000,18.8006,17.788,14.0171,13.4382
15000,18.7972,17.779,14.0251,13.4377
16000,18.8046,17.7875,14.0226,13.4439
17000,18.8116,17.786,14.0252,13.4515
18000,18.8099,17.7837,14.0215,13.4443
19000,18.8115,17.7815,14.0187,13.4397
20000,18.8151,17.7846,14.0236,13.4466
21000,18.8008,17.7726,14.0183,13.4453
22000,18.8065,17.7749,14.0203,13.455
23000,18.7902,17.7579,14.0173,13.4476
24000,18.7898,17.7506,14.0064,13.4466
25000,18.7852,17.7488,14.0008,13.4471
26000,18.7866,17.7435,14.0011,13.4463
27000,18.7861,17.7431,14.0034,13.4439
28000,18.7818,17.734,14.0005,13.4376
29000,18.7831,17.7354,14.0016,13.4436
30000,18.7869,17.7372,13.9972,13.441
31000,18.7876,17.7396,13.9959,13.4392
32000,18.7872,17.7432,14.0007,13.4455
33000,18.7863,17.7406,14.002,13.4498
34000,18.7855,17.7418,13.9979,13.4473
35000,18.7863,17.7401,13.9978,13.4502
36000,18.7893,17.7434,14.0004,13.452
37000,18.7937,17.7446,14.0023,13.4507
38000,18.7927,17.747,14.0012,13.4528
39000,18.7929,17.7459,13.9999,13.4563
40000,18.7924,17.7451,14.002,13.454
41000,18.7902,17.7422,13.9976,13.452
42000,18.7907,17.7405,13.9992,13.4514
43000,18.7843,17.736,13.9975,13.4531
44000,18.7776,17.7295,13.998,13.4511
45000,18.7706,17.723,13.9956,13.4511
46000,18.7693,17.7228,13.996,13.4527
47000,18.7724,17.7226,13.9944,13.4536
48000,18.7735,17.7233,13.9989,13.4595
49000,18.7747,17.7255,13.999,13.4608
50000,18.7686,17.721,13.9974,13.4596
51000,18.7612,17.7165,13.9956,13.4562
52000,18.7612,17.7143,13.993,13.4534
53000,18.7651,17.7164,13.9963,13.4545
54000,18.7655,17.7171,13.9978,13.4542
55000,18.7625,17.7159,13.9964,13.455
56000,18.7626,17.7169,13.9958,13.4543
57000,18.7641,17.7173,13.9978,13.4536
58000,18.7653,17.7186,14.0012,13.4558
59000,18.7645,17.7172,14.0015,13.4561
60000,18.7709,17.7219,14.0029,13.4592
61000,18.7749,17.7269,14.0044,13.4588
62000,18.7708,17.7246,14.0034,13.4566
63000,18.7683,17.7236,14.0012,13.4567
64000,18.7647,17.7195,13.9992,13.4542
65000,18.7659,17.7216,14.0014,13.4546
66000,18.7657,17.723,14.0011,13.4543
67000,18.7685,17.7266,14.0,13.455
68000,18.7695,17.7271,13.9983,13.4555
69000,18.7698,17.726,13.9976,13.4547
70000,18.7669,17.7242,13.9948,13.4528
71000,18.7664,17.7232,13.9944,13.4531
72000,18.7642,17.7229,13.9915,13.4506
73000,18.762,17.7207,13.9898,13.452
74000,18.7626,17.7196,13.9895,13.451
75000,18.7636,17.719,13.9882,13.4506
76000,18.7639,17.72,13.9876,13.4482
77000,18.767,17.7232,13.9883,13.4492
78000,18.7671,17.7244,13.987,13.4492
79000,18.7659,17.7226,13.9849,13.4501
80000,18.7657,17.7237,13.9859,13.4496
81000,18.7642,17.7234,13.9864,13.4481
82000,18.7602,17.7215,13.9854,13.4486
83000,18.7605,17.7233,13.984,13.4499
84000,18.7624,17.7237,13.9853,13.4509
85000,18.761,17.7231,13.9857,13.4512
86000,18.7589,17.7206,13.9874,13.4496
87000,18.7586,17.7215,13.9871,13.4519
88000,18.7589,17.7228,13.9889,13.4515
89000,18.7593,17.7236,13.9894,13.4513
90000,18.7597,17.7239,13.9897,13.4518
91000,18.7628,17.7262,13.9912,13.4533
92000,18.7652,17.7268,13.9912,13.4542
93000,18.7693,17.7294,13.9943,13.4548
94000,18.7703,17.7304,13.9937,13.4558
95000,18.7694,17.7302,13.9933,13.4541
96000,18.769,17.7297,13.9939,13.4546
97000,18.7677,17.7292,13.9943,13.455
98000,18.7681,17.7289,13.9938,13.4549
99000,18.7686,17.7303,13.9948,13.4555
