step,splaynet,central_splaynet,full_binary
1000,15.609699999999998,15.431099999999997,24.0305
2000,16.053799999999995,15.847449999999998,24.025000000000002
3000,16.213730000000005,16.01184,24.03453
4000,16.32698,16.1321,24.037010000000002
5000,16.36916,16.174699999999998,24.01632
6000,16.469540000000002,16.26571,24.012610000000002
7000,16.54273,16.334860000000003,24.01401
8000,16.58596,16.379089999999998,24.018629999999998
9000,16.61725,16.41246,24.016859999999998
10000,16.64065,16.433799999999998,24.00614
11000,16.703110000000002,16.49593,24.0058
12000,16.71295,16.506280000000004,23.997989999999998
13000,16.707160000000002,16.500680000000003,23.99645
14000,16.71299,16.50301,23.99417
15000,16.72618,16.51765,23.994729999999997
16000,16.73055,16.519840000000002,23.998700000000003
17000,16.731550000000002,16.52192,23.997969999999995
18000,16.7404,16.530669999999997,23.999139999999997
19000,16.75817,16.54848,23.99746
20000,16.776850000000003,16.565360000000002,23.996119999999998
21000,16.77324,16.563139999999997,23.99568
22000,16.77469,16.56465,23.995440000000002
23000,16.78496,16.57322,23.98943
24000,16.7765,16.565199999999997,23.987879999999997
25000,16.78149,16.570169999999997,23.98631
26000,16.783350000000002,16.573590000000003,23.98541
27000,16.7811,16.571449999999995,23.986430000000002
28000,16.785310000000003,16.575,23.98863
29000,16.77395,16.563719999999996,23.98538
30000,16.78087,16.56987,23.985729999999997
31000,16.77463,16.56515,23.98367
32000,16.7874,16.57852,23.98737
33000,16.78586,16.576729999999994,23.98611
34000,16.792669999999998,16.58371,23.98597
35000,16.796829999999996,16.586599999999997,23.98616
36000,16.79534,16.584089999999996,23.98406
37000,16.79058,16.579150000000002,23.984090000000002
38000,16.795080000000002,16.58345,23.98507
39000,16.794719999999998,16.583670000000005,23.985270000000003
40000,16.793910000000004,16.5838,23.984070000000003
41000,16.7942,16.584139999999998,23.98095
42000,16.8,16.59032,23.98111
43000,16.80161,16.591179999999998,23.98119
44000,16.80397,16.593790000000002,23.9807
45000,16.801309999999997,16.59085,23.982120000000002
46000,16.7971,16.58688,23.98319
47000,16.79598,16.58515,23.982490000000002
48000,16.799840000000003,16.58895,23.981280000000005
49000,16.80574,16.593809999999998,23.98105
50000,16.80754,16.59508,23.977849999999997
51000,16.81357,16.601010000000002,23.97698
52000,16.80816,16.59601,23.977489999999996
53000,16.806980000000003,16.59493,23.97696
54000,16.8057,16.59301,23.97657
55000,16.801769999999998,16.5893,23.97563
56000,16.80477,16.59219,23.97566
57000,16.800710000000002,16.589729999999996,23.975240000000003
58000,16.79547,16.58521,23.97566
59000,16.79642,16.58605,23.974690000000002
60000,16.798790000000004,16.58845,23.974489999999996
61000,16.797669999999997,16.5878,23.974400000000003
62000,16.79707,16.58641,23.97509
63000,16.793239999999997,16.582699999999996,23.9733
64000,16.795260000000003,16.584319999999998,23.974869999999996
65000,16.79818,16.587049999999998,23.974709999999995
66000,16.79846,16.588119999999996,23.97461
67000,16.80205,16.59133,23.973270000000003
68000,16.80119,16.59126,23.97365
69000,16.803580000000004,16.59365,23.97521
70000,16.804850000000002,16.595130000000005,23.976210000000002
71000,16.806220000000003,16.59662,23.975540000000002
72000,16.803950000000004,16.594540000000002,23.976050000000004
73000,16.80585,16.59656,23.976619999999997
